"ISBN";"Book-Title";"Book-Author";"Year-Of-Publication";"Publisher";"Image-URL-S";"Image-URL-M";"Image-URL-L"
"0618129022";"The Lord of the Rings (Movie Art Cover)";"J.R.R. Tolkien";"2001";"Houghton Mifflin Company";"http://images.amazon.com/images/P/0618129022.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0618129022.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0618129022.01.LZZZZZZZ.jpg"
"0618129014";"The Lord of the Rings (Movie Art Cover)";"J. R. R. Tolkien";"2001";"Houghton Mifflin Company";"http://images.amazon.com/images/P/0618129014.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0618129014.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0618129014.01.LZZZZZZZ.jpg"
"0618002235";"The Two Towers (The Lord of the Rings, Part 2)";"J. R. R. Tolkien";"1999";"Houghton Mifflin Company";"http://images.amazon.com/images/P/0618002235.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0618002235.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0618002235.01.LZZZZZZZ.jpg"
"0618002227";"The Fellowship of the Ring (The Lord of the Rings, Part 1)";"J. R. R. Tolkien";"1999";"Houghton Mifflin Company";"http://images.amazon.com/images/P/0618002227.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0618002227.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0618002227.01.LZZZZZZZ.jpg"
"0395193958";"The Lord of the Rings (Leatherette Collector's Edition)";"J. R. R. Tolkien";"1974";"Houghton Mifflin Company";"http://images.amazon.com/images/P/0395193958.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0395193958.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0395193958.01.LZZZZZZZ.jpg"
"0618129030";"The Fellowship of the Ring (The Lord of the Rings, Part 1)";"J. R. R. Tolkien";"2001";"Houghton Mifflin Company";"http://images.amazon.com/images/P/0618129030.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0618129030.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0618129030.01.LZZZZZZZ.jpg"
"0395489326";"The Lord of the Rings";"J. R. R. Tolkien";"1988";"Houghton Mifflin Company";"http://images.amazon.com/images/P/0395489326.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0395489326.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0395489326.01.LZZZZZZZ.jpg"
"0618129111";"The Return of the King (The Lord of the Rings, Part 3)";"J. R. R. Tolkien";"2001";"Houghton Mifflin Company";"http://images.amazon.com/images/P/0618129111.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0618129111.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0618129111.01.LZZZZZZZ.jpg"
"0618260552";"The Return of the King (The Lord of the Rings, Part 3)";"J.R.R. Tolkien";"2002";"Houghton Mifflin";"http://images.amazon.com/images/P/0618260552.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0618260552.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0618260552.01.LZZZZZZZ.jpg"
"0618260595";"The Two Towers (The Lord of the Rings, Part 2)";"J.R.R. Tolkien";"2002";"Houghton Mifflin";"http://images.amazon.com/images/P/0618260595.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0618260595.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0618260595.01.LZZZZZZZ.jpg"
"061826051X";"The Fellowship of the Ring (The Lord of the Rings, Part 1)";"J. R. R. Tolkien";"2002";"Houghton Mifflin Company";"http://images.amazon.com/images/P/061826051X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/061826051X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/061826051X.01.LZZZZZZZ.jpg"
